name,price
ROG Phone Bag,S$49.00
ASUS Zenfone 8 ZS590KS-2A058WW (Obsidian Black),S$999.00
ROG Phone 5s ZS676KS-1A085WW (Phantom Black),"S$1,599.00"
ROG Phone 5s ZS676KS-1B086WW (Storm White),"S$1,599.00"
ROG Phone 5s Pro ZS676KS-1A047WW,"S$1,799.00"
AeroActive Cooler 5,S$69.00
ASUS Zenfone 8 x Rhinoshield SolidSuit Phone Case,S$39.00
Kunai GamePad 3 with ROG Phone 5 Bumper,S$179.00
